"","date","lib","prix"
"326700",2009-01-06,"BIAT",37.1
"326712",2009-01-28,"BIAT",37.15
"326714",2009-01-26,"BIAT",37.16
"326764",2009-01-20,"BIAT",37.21
"326801",2009-01-07,"BIAT",37.3
"326802",2009-01-22,"BIAT",37.3
"326803",2009-01-23,"BIAT",37.3
"326871",2009-01-27,"BIAT",37.38
"326879",2009-01-05,"BIAT",37.39
"326880",2009-01-13,"BIAT",37.39
"326881",2009-01-14,"BIAT",37.39
"326882",2009-01-21,"BIAT",37.39
"326911",2009-01-12,"BIAT",37.4
"326912",2009-01-15,"BIAT",37.4
"326913",2009-01-16,"BIAT",37.4
"326939",2009-01-19,"BIAT",37.45
"326949",2009-01-09,"BIAT",37.47
"326954",2009-01-02,"BIAT",37.48
"326955",2009-01-08,"BIAT",37.48
"327003",2009-02-05,"BIAT",37.5
"327138",2009-02-06,"BIAT",37.7
"327248",2009-02-04,"BIAT",37.9
"327378",2009-01-29,"BIAT",38
"327379",2009-01-30,"BIAT",38
"327566",2009-02-09,"BIAT",38.22
"327712",2009-02-10,"BIAT",38.45
"328814",2009-02-11,"BIAT",39.6
"329083",2009-02-19,"BIAT",40
"329084",2009-02-26,"BIAT",40
"329108",2009-02-24,"BIAT",40.01
"329139",2009-02-25,"BIAT",40.1
"329202",2009-03-02,"BIAT",40.2
"329254",2009-02-27,"BIAT",40.34
"329257",2009-02-23,"BIAT",40.36
"329259",2009-02-20,"BIAT",40.37
"329261",2009-02-18,"BIAT",40.39
"329314",2009-03-10,"BIAT",40.49
"329349",2009-02-17,"BIAT",40.5
"329350",2009-03-03,"BIAT",40.5
"329351",2009-03-04,"BIAT",40.5
"329352",2009-03-05,"BIAT",40.5
"329359",2009-03-06,"BIAT",40.52
"329540",2009-02-16,"BIAT",40.9
"329541",2009-03-26,"BIAT",40.9
"329542",2009-03-27,"BIAT",40.9
"329545",2009-03-30,"BIAT",40.91
"329815",2009-02-12,"BIAT",41
"329816",2009-02-13,"BIAT",41
"329817",2009-03-24,"BIAT",41
"329818",2009-03-25,"BIAT",41
"330015",2009-03-13,"BIAT",41.3
"330107",2009-03-17,"BIAT",41.4
"330128",2009-03-16,"BIAT",41.48
